slug,school,name,title,cv_url,graduation_year,personal_url,hidden,google_scholar_url,alternative_name,graduation_school,faculty_directory_url,paper_list_url,bio
northwestern_daniel_martin,Northwestern,Daniel Martin,Assistant Professor of Managerial Economics & Decision Sciences,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=7193,2013,,,https://scholar.google.com/citations?user=ott3gwsAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=djm724,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=djm724#research,
northwestern_niko_matouschek,Northwestern,Niko Matouschek,Alvin J. Huss Professor of Management and Strategy Professor of Strategy Department Chair of Strategy,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2295,2000,,,https://scholar.google.com/citations?user=z47MuaMAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=nma444,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=nma444#research,
northwestern_david_a_matsa,Northwestern,David A. Matsa,Associate Professor of Finance,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2296,2006,,,https://scholar.google.com/citations?user=Y1U8yzoAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=dam299,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=dam299#research,
northwestern_michael_mazzeo,Northwestern,Michael Mazzeo,Associate Professor of Strategy,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2299,1998,,,https://scholar.google.com/citations?user=KHWILhUAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=mma317,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=mma317#research,
northwestern_robert_l_mcdonald,Northwestern,Robert L. McDonald,Erwin P. Nemmers Professor of Finance,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2082,1982,,,https://scholar.google.com/citations?user=p57ys3cAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rmcd,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=rmcd#research,
northwestern_blake_mcshane,Northwestern,Blake McShane,Associate Professor of Marketing,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2303,2010,,,https://scholar.google.com/citations?user=D8LGf9EAAAAJ&hl=en&oi=sra,Blakeley McShane,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=bbm180,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=bbm180#research,
northwestern_victoria_medvec,Northwestern,Victoria Medvec,Adeline Barry Davee Professor of Management & Organizations Executive Director of the Center for Executive Women,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2305,1995,,,,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=vhm679,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=vhm679#research,
northwestern_brian_melzer,Northwestern,Brian Melzer,Assistant Professor of Finance,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2306,2008,,,https://scholar.google.com/citations?user=39T_lyEAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=btm278,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=btm278#research,
northwestern_konstantin_w_milbradt,Northwestern,Konstantin W. Milbradt,Associate Professor of Finance,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=7153,2009,,,https://scholar.google.com/citations?user=aBKcwVgAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=kwm094,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=kwm094#research,
northwestern_dylan_minor,Northwestern,Dylan Minor,Assistant Professor of Managerial Economics & Decision Sciences,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2312,2011,,,,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=dbm330,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=dbm330#research,
northwestern_john_mondragon,Northwestern,John Mondragon,Assistant Professor of Finance,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=12611,2015,,,https://scholar.google.com/citations?user=BKI5H84AAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jam382,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jam382#research,
northwestern_antonio_morenogarcia,Northwestern,Antonio Moreno-Garcia,Associate Professor of Operations,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2316,2012,,,https://scholar.google.com/citations?user=Vs8RUAwAAAAJ&hl=en&oi=sra,Toni Moreno,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=amv553,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=amv553#research,
northwestern_ameet_morjaria,Northwestern,Ameet Morjaria,Assistant Professor of Managerial Economics & Decision Sciences,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=12613,2010,,,https://scholar.google.com/citations?user=Z75EHLoAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=amh285,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=amh285#research,
northwestern_charles_nathanson,Northwestern,Charles Nathanson,Assistant Professor of Finance,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=7196,2014,,,https://scholar.google.com/citations?user=ALQJ0RcAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=cgn482,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=cgn482#research,
northwestern_james_naughton,Northwestern,James Naughton,Assistant Professor of Accounting Information & Management,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2319,2011,,,https://scholar.google.com/citations?user=2vMu314AAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jpn849,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=jpn849#research,
northwestern_loran_nordgren,Northwestern,Loran Nordgren,Associate Professor of Management & Organizations,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2321,2007,,,https://scholar.google.com/citations?user=NQrNdIMAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=lfn276,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=lfn276#research,
northwestern_william_ocasio,Northwestern,William Ocasio,John L. and Helen Kellogg Professor of Management & Organizations,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2322,1992,,,https://scholar.google.com/citations?user=QRWfBroAAAAJ&hl=en&oi=ao,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=woc071,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=woc071#research,
northwestern_aharon_ofer,Northwestern,Aharon Ofer,Professor of Finance,,,,,,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=aro357,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=aro357#research,
northwestern_wojciech_olszewski,Northwestern,Wojciech Olszewski,"Professor of Economics, Weinberg College of Arts and Sciences Professor of Managerial Economics & Decision Sciences (Courtesy)",,,,TRUE,,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=wol737,,
northwestern_kara_palamountain,Northwestern,Kara Palamountain,Research Associate Professor within Kellogg's Public-Private Interface Initiative (KPPI) Lecturer of Global Health,https://faculty.kellogg.northwestern.edu/fac_cv_download.php?fac_id=2325,2006,,TRUE,,,,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=kmp015,http://www.kellogg.northwestern.edu/Faculty/Faculty_Search_Results.aspx?netid=kmp015#research,
